Case 5:
Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.15892

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 0.2500
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.1500
               h_bed: 0.5000
               l_bed: 10
               alpha: 1.5000
                beta: 1.5000
               omega: 5.0000e-04

Running model run (ode15s):
Run seasonal
Saving model run to
./RUN/output_005_seasonal.nc
IC initialised from struct
IC initialised from file/given & rest from parameters and given functions
36500.0/37230.0 days/days; walltime: 14.3
36539.0/37230.0 days/days; walltime: 0.6
36540.0/37230.0 days/days; walltime: 0.4
36541.0/37230.0 days/days; walltime: 0.6
36542.0/37230.0 days/days; walltime: 0.3
36543.0/37230.0 days/days; walltime: 0.4
36544.0/37230.0 days/days; walltime: 0.6
36545.0/37230.0 days/days; walltime: 0.4
36546.0/37230.0 days/days; walltime: 0.6
36547.0/37230.0 days/days; walltime: 0.6
36548.0/37230.0 days/days; walltime: 0.6
36549.0/37230.0 days/days; walltime: 0.4
36550.0/37230.0 days/days; walltime: 0.6
36551.0/37230.0 days/days; walltime: 0.6
36552.0/37230.0 days/days; walltime: 0.4
36553.0/37230.0 days/days; walltime: 0.5
36554.0/37230.0 days/days; walltime: 0.4
36555.0/37230.0 days/days; walltime: 0.7
36556.0/37230.0 days/days; walltime: 0.6
36557.0/37230.0 days/days; walltime: 0.6
36558.0/37230.0 days/days; walltime: 0.6
36559.0/37230.0 days/days; walltime: 6.3
36560.0/37230.0 days/days; walltime: 0.6
36561.0/37230.0 days/days; walltime: 0.4
36562.0/37230.0 days/days; walltime: 0.6
36563.0/37230.0 days/days; walltime: 0.4
36564.0/37230.0 days/days; walltime: 0.3
36565.0/37230.0 days/days; walltime: 0.4
36566.0/37230.0 days/days; walltime: 0.3
36567.0/37230.0 days/days; walltime: 0.3
36568.0/37230.0 days/days; walltime: 0.3
36569.0/37230.0 days/days; walltime: 0.3
36570.0/37230.0 days/days; walltime: 0.3
36571.0/37230.0 days/days; walltime: 0.3
36572.0/37230.0 days/days; walltime: 0.3
36573.0/37230.0 days/days; walltime: 0.3
36574.0/37230.0 days/days; walltime: 0.4
36575.0/37230.0 days/days; walltime: 0.3
36576.0/37230.0 days/days; walltime: 0.3
36577.0/37230.0 days/days; walltime: 0.3
36578.0/37230.0 days/days; walltime: 0.3
36579.0/37230.0 days/days; walltime: 0.3
36580.0/37230.0 days/days; walltime: 0.3
36581.0/37230.0 days/days; walltime: 0.3
36582.0/37230.0 days/days; walltime: 0.3
36583.0/37230.0 days/days; walltime: 0.3
36584.0/37230.0 days/days; walltime: 0.3
36585.0/37230.0 days/days; walltime: 0.3
36586.0/37230.0 days/days; walltime: 0.3
36587.0/37230.0 days/days; walltime: 0.3
36588.0/37230.0 days/days; walltime: 0.4
36589.0/37230.0 days/days; walltime: 0.3
36590.0/37230.0 days/days; walltime: 0.4
36591.0/37230.0 days/days; walltime: 0.4
36592.0/37230.0 days/days; walltime: 0.4
36593.0/37230.0 days/days; walltime: 0.4
36594.0/37230.0 days/days; walltime: 0.2
36595.0/37230.0 days/days; walltime: 0.4
36596.0/37230.0 days/days; walltime: 0.4
36597.0/37230.0 days/days; walltime: 0.4
36598.0/37230.0 days/days; walltime: 0.4
36599.0/37230.0 days/days; walltime: 0.4
36600.0/37230.0 days/days; walltime: 3.4
36601.0/37230.0 days/days; walltime: 0.5
36602.0/37230.0 days/days; walltime: 0.3
36603.0/37230.0 days/days; walltime: 0.3
36604.0/37230.0 days/days; walltime: 0.3
36605.0/37230.0 days/days; walltime: 0.1
36606.0/37230.0 days/days; walltime: 0.3
36607.0/37230.0 days/days; walltime: 0.3
36608.0/37230.0 days/days; walltime: 0.1
36609.0/37230.0 days/days; walltime: 0.2
36610.0/37230.0 days/days; walltime: 0.3
36611.0/37230.0 days/days; walltime: 0.1
36612.0/37230.0 days/days; walltime: 0.2
36613.0/37230.0 days/days; walltime: 0.3
36614.0/37230.0 days/days; walltime: 0.1
36615.0/37230.0 days/days; walltime: 0.9
36616.0/37230.0 days/days; walltime: 1.6
36617.0/37230.0 days/days; walltime: 3.1
36618.0/37230.0 days/days; walltime: 10.7
36619.0/37230.0 days/days; walltime: 14.6
36620.0/37230.0 days/days; walltime: 12.6
36621.0/37230.0 days/days; walltime: 15.6
36622.0/37230.0 days/days; walltime: 16.2
36623.0/37230.0 days/days; walltime: 18.9
36624.0/37230.0 days/days; walltime: 18.7
36625.0/37230.0 days/days; walltime: 17.1
36626.0/37230.0 days/days; walltime: 17.8
36627.0/37230.0 days/days; walltime: 19.1
36628.0/37230.0 days/days; walltime: 19.1
36629.0/37230.0 days/days; walltime: 18.7
36630.0/37230.0 days/days; walltime: 18.5
36631.0/37230.0 days/days; walltime: 18.2
36632.0/37230.0 days/days; walltime: 20.1
36633.0/37230.0 days/days; walltime: 18.5
36634.0/37230.0 days/days; walltime: 19.5
36635.0/37230.0 days/days; walltime: 16.5
36636.0/37230.0 days/days; walltime: 17.7
36637.0/37230.0 days/days; walltime: 17.9
36638.0/37230.0 days/days; walltime: 17.2
36639.0/37230.0 days/days; walltime: 17.5
36640.0/37230.0 days/days; walltime: 21.8
36641.0/37230.0 days/days; walltime: 18.2
36642.0/37230.0 days/days; walltime: 18.2
36643.0/37230.0 days/days; walltime: 17.2
36644.0/37230.0 days/days; walltime: 17.4
36645.0/37230.0 days/days; walltime: 18.9
36646.0/37230.0 days/days; walltime: 15.0
36647.0/37230.0 days/days; walltime: 16.4
36648.0/37230.0 days/days; walltime: 15.6
36649.0/37230.0 days/days; walltime: 24.0
36650.0/37230.0 days/days; walltime: 15.4
36651.0/37230.0 days/days; walltime: 15.9
36652.0/37230.0 days/days; walltime: 14.5
36653.0/37230.0 days/days; walltime: 22.6
36654.0/37230.0 days/days; walltime: 13.7
36655.0/37230.0 days/days; walltime: 23.3
36656.0/37230.0 days/days; walltime: 19.8
36657.0/37230.0 days/days; walltime: 25.8
36658.0/37230.0 days/days; walltime: 19.8
36659.0/37230.0 days/days; walltime: 8.5
36660.0/37230.0 days/days; walltime: 7.9
36661.0/37230.0 days/days; walltime: 25.7
36662.0/37230.0 days/days; walltime: 10.9
36663.0/37230.0 days/days; walltime: 14.4
36664.0/37230.0 days/days; walltime: 8.7
36665.0/37230.0 days/days; walltime: 14.5
36666.0/37230.0 days/days; walltime: 25.1
36667.0/37230.0 days/days; walltime: 24.7
36668.0/37230.0 days/days; walltime: 9.4
36669.0/37230.0 days/days; walltime: 20.8
36670.0/37230.0 days/days; walltime: 17.3
36671.0/37230.0 days/days; walltime: 8.8
36672.0/37230.0 days/days; walltime: 9.9
36673.0/37230.0 days/days; walltime: 25.4
36674.0/37230.0 days/days; walltime: 12.0
36675.0/37230.0 days/days; walltime: 36.2
36676.0/37230.0 days/days; walltime: 16.1
36677.0/37230.0 days/days; walltime: 14.2
36678.0/37230.0 days/days; walltime: 71.3
36679.0/37230.0 days/days; walltime: 16.9
36680.0/37230.0 days/days; walltime: 14.7
36681.0/37230.0 days/days; walltime: 16.4
36682.0/37230.0 days/days; walltime: 33.8
36683.0/37230.0 days/days; walltime: 4.2
36684.0/37230.0 days/days; walltime: 6.2
36685.0/37230.0 days/days; walltime: 22.3
36686.0/37230.0 days/days; walltime: 5.6
36687.0/37230.0 days/days; walltime: 21.7
36688.0/37230.0 days/days; walltime: 29.1
36689.0/37230.0 days/days; walltime: 17.0
36690.0/37230.0 days/days; walltime: 16.6
36691.0/37230.0 days/days; walltime: 3.6
36692.0/37230.0 days/days; walltime: 8.2
36693.0/37230.0 days/days; walltime: 6.3
36694.0/37230.0 days/days; walltime: 16.6
36695.0/37230.0 days/days; walltime: 12.9
36696.0/37230.0 days/days; walltime: 1.1
36697.0/37230.0 days/days; walltime: 8.8
36698.0/37230.0 days/days; walltime: 8.2
36699.0/37230.0 days/days; walltime: 3.1
36700.0/37230.0 days/days; walltime: 13.7
36701.0/37230.0 days/days; walltime: 6.9
36702.0/37230.0 days/days; walltime: 10.0
36703.0/37230.0 days/days; walltime: 1.7
36704.0/37230.0 days/days; walltime: 1.7
36705.0/37230.0 days/days; walltime: 1.8
36706.0/37230.0 days/days; walltime: 16.1
36707.0/37230.0 days/days; walltime: 5.9
36708.0/37230.0 days/days; walltime: 6.2
36709.0/37230.0 days/days; walltime: 17.6
36710.0/37230.0 days/days; walltime: 5.9
36711.0/37230.0 days/days; walltime: 9.6
36712.0/37230.0 days/days; walltime: 10.8
36713.0/37230.0 days/days; walltime: 4.7
36714.0/37230.0 days/days; walltime: 5.5
36715.0/37230.0 days/days; walltime: 8.5
36716.0/37230.0 days/days; walltime: 5.1
36717.0/37230.0 days/days; walltime: 6.0
36718.0/37230.0 days/days; walltime: 4.9
36719.0/37230.0 days/days; walltime: 14.8
36720.0/37230.0 days/days; walltime: 5.2
36721.0/37230.0 days/days; walltime: 8.0
36722.0/37230.0 days/days; walltime: 8.2
36723.0/37230.0 days/days; walltime: 7.6
36724.0/37230.0 days/days; walltime: 10.7
36725.0/37230.0 days/days; walltime: 13.2
36726.0/37230.0 days/days; walltime: 12.1
36727.0/37230.0 days/days; walltime: 15.6
36728.0/37230.0 days/days; walltime: 12.8
36729.0/37230.0 days/days; walltime: 19.4
36730.0/37230.0 days/days; walltime: 10.5
36731.0/37230.0 days/days; walltime: 15.6
36732.0/37230.0 days/days; walltime: 13.2
36733.0/37230.0 days/days; walltime: 16.5
36734.0/37230.0 days/days; walltime: 15.7
36735.0/37230.0 days/days; walltime: 15.9
36736.0/37230.0 days/days; walltime: 14.9
36737.0/37230.0 days/days; walltime: 17.1
36738.0/37230.0 days/days; walltime: 17.6
36739.0/37230.0 days/days; walltime: 18.4
36740.0/37230.0 days/days; walltime: 18.4
36741.0/37230.0 days/days; walltime: 16.1
36742.0/37230.0 days/days; walltime: 16.8
36743.0/37230.0 days/days; walltime: 16.9
36744.0/37230.0 days/days; walltime: 15.7
36745.0/37230.0 days/days; walltime: 10.9
36746.0/37230.0 days/days; walltime: 121.6
36747.0/37230.0 days/days; walltime: 6.2
36748.0/37230.0 days/days; walltime: 6.0
36749.0/37230.0 days/days; walltime: 5.5
36750.0/37230.0 days/days; walltime: 5.9
36751.0/37230.0 days/days; walltime: 1.7
36752.0/37230.0 days/days; walltime: 1.7
36753.0/37230.0 days/days; walltime: 1.5
36754.0/37230.0 days/days; walltime: 1.7
36755.0/37230.0 days/days; walltime: 1.6
36756.0/37230.0 days/days; walltime: 1.4
36757.0/37230.0 days/days; walltime: 1.1
36758.0/37230.0 days/days; walltime: 0.9
36759.0/37230.0 days/days; walltime: 1.2
36760.0/37230.0 days/days; walltime: 2.6
36761.0/37230.0 days/days; walltime: 0.4
36762.0/37230.0 days/days; walltime: 0.7
36763.0/37230.0 days/days; walltime: 0.9
36764.0/37230.0 days/days; walltime: 0.7
36765.0/37230.0 days/days; walltime: 0.6
36766.0/37230.0 days/days; walltime: 0.8
36767.0/37230.0 days/days; walltime: 0.6
36768.0/37230.0 days/days; walltime: 0.6
36769.0/37230.0 days/days; walltime: 0.7
36770.0/37230.0 days/days; walltime: 1.9
36771.0/37230.0 days/days; walltime: 0.3
36772.0/37230.0 days/days; walltime: 0.3
36773.0/37230.0 days/days; walltime: 0.6
36774.0/37230.0 days/days; walltime: 0.6
36775.0/37230.0 days/days; walltime: 0.2
36776.0/37230.0 days/days; walltime: 0.6
36777.0/37230.0 days/days; walltime: 0.6
36778.0/37230.0 days/days; walltime: 0.4
36779.0/37230.0 days/days; walltime: 0.6
36780.0/37230.0 days/days; walltime: 0.6
36781.0/37230.0 days/days; walltime: 0.4
36782.0/37230.0 days/days; walltime: 0.4
36783.0/37230.0 days/days; walltime: 0.6
36784.0/37230.0 days/days; walltime: 0.4
36785.0/37230.0 days/days; walltime: 0.5
36786.0/37230.0 days/days; walltime: 0.6
36787.0/37230.0 days/days; walltime: 0.5
36788.0/37230.0 days/days; walltime: 0.5
36789.0/37230.0 days/days; walltime: 3.4
36790.0/37230.0 days/days; walltime: 0.3
36791.0/37230.0 days/days; walltime: 0.4
36792.0/37230.0 days/days; walltime: 0.3
36793.0/37230.0 days/days; walltime: 0.3
36794.0/37230.0 days/days; walltime: 0.3
36795.0/37230.0 days/days; walltime: 0.3
36796.0/37230.0 days/days; walltime: 0.3
36797.0/37230.0 days/days; walltime: 0.3
36798.0/37230.0 days/days; walltime: 0.3
36799.0/37230.0 days/days; walltime: 0.3
36800.0/37230.0 days/days; walltime: 0.3
36801.0/37230.0 days/days; walltime: 0.3
36802.0/37230.0 days/days; walltime: 0.3
36803.0/37230.0 days/days; walltime: 0.3
36804.0/37230.0 days/days; walltime: 0.3
36805.0/37230.0 days/days; walltime: 0.4
36806.0/37230.0 days/days; walltime: 0.3
36807.0/37230.0 days/days; walltime: 0.3
36808.0/37230.0 days/days; walltime: 0.3
36809.0/37230.0 days/days; walltime: 0.3
36810.0/37230.0 days/days; walltime: 0.3
36811.0/37230.0 days/days; walltime: 0.3
36812.0/37230.0 days/days; walltime: 0.3
36813.0/37230.0 days/days; walltime: 0.3
36814.0/37230.0 days/days; walltime: 0.3
36815.0/37230.0 days/days; walltime: 0.3
36816.0/37230.0 days/days; walltime: 0.3
36817.0/37230.0 days/days; walltime: 0.3
36818.0/37230.0 days/days; walltime: 0.3
36819.0/37230.0 days/days; walltime: 0.3
36820.0/37230.0 days/days; walltime: 0.3
36821.0/37230.0 days/days; walltime: 0.1
36822.0/37230.0 days/days; walltime: 0.3
36823.0/37230.0 days/days; walltime: 0.3
36824.0/37230.0 days/days; walltime: 0.4
36825.0/37230.0 days/days; walltime: 0.4
36826.0/37230.0 days/days; walltime: 0.2
36827.0/37230.0 days/days; walltime: 0.3
36828.0/37230.0 days/days; walltime: 0.3
36829.0/37230.0 days/days; walltime: 0.2
36830.0/37230.0 days/days; walltime: 0.4
36831.0/37230.0 days/days; walltime: 0.4
36832.0/37230.0 days/days; walltime: 0.4
36833.0/37230.0 days/days; walltime: 4.4
36834.0/37230.0 days/days; walltime: 0.3
36835.0/37230.0 days/days; walltime: 0.7
36836.0/37230.0 days/days; walltime: 0.1
36837.0/37230.0 days/days; walltime: 0.3
36838.0/37230.0 days/days; walltime: 0.1
36839.0/37230.0 days/days; walltime: 0.2
36840.0/37230.0 days/days; walltime: 0.3
36841.0/37230.0 days/days; walltime: 0.1
36842.0/37230.0 days/days; walltime: 0.1
36843.0/37230.0 days/days; walltime: 0.2
36844.0/37230.0 days/days; walltime: 0.1
36845.0/37230.0 days/days; walltime: 0.2
36846.0/37230.0 days/days; walltime: 0.1
36847.0/37230.0 days/days; walltime: 0.2
36848.0/37230.0 days/days; walltime: 0.3
36849.0/37230.0 days/days; walltime: 0.1
36850.0/37230.0 days/days; walltime: 0.2
36851.0/37230.0 days/days; walltime: 0.1
36852.0/37230.0 days/days; walltime: 0.3
36853.0/37230.0 days/days; walltime: 0.1
36854.0/37230.0 days/days; walltime: 0.2
36855.0/37230.0 days/days; walltime: 0.1
36856.0/37230.0 days/days; walltime: 0.3
36857.0/37230.0 days/days; walltime: 0.2
36858.0/37230.0 days/days; walltime: 0.1
36859.0/37230.0 days/days; walltime: 0.2
36860.0/37230.0 days/days; walltime: 0.1
36861.0/37230.0 days/days; walltime: 0.2
36862.0/37230.0 days/days; walltime: 0.1
36863.0/37230.0 days/days; walltime: 0.2
36864.0/37230.0 days/days; walltime: 0.3
36865.0/37230.0 days/days; walltime: 0.1
36866.0/37230.0 days/days; walltime: 0.2
36867.0/37230.0 days/days; walltime: 0.1
36868.0/37230.0 days/days; walltime: 0.3
36869.0/37230.0 days/days; walltime: 0.1
36870.0/37230.0 days/days; walltime: 0.2
36871.0/37230.0 days/days; walltime: 0.1
36872.0/37230.0 days/days; walltime: 0.3
36873.0/37230.0 days/days; walltime: 0.2
36874.0/37230.0 days/days; walltime: 0.1
36875.0/37230.0 days/days; walltime: 0.2
36876.0/37230.0 days/days; walltime: 0.1
36877.0/37230.0 days/days; walltime: 0.2
36878.0/37230.0 days/days; walltime: 0.1
36879.0/37230.0 days/days; walltime: 0.2
36880.0/37230.0 days/days; walltime: 0.3
36881.0/37230.0 days/days; walltime: 0.1
36882.0/37230.0 days/days; walltime: 0.2
36883.0/37230.0 days/days; walltime: 0.1
36884.0/37230.0 days/days; walltime: 0.3
36885.0/37230.0 days/days; walltime: 0.1
36886.0/37230.0 days/days; walltime: 0.2
36887.0/37230.0 days/days; walltime: 0.1
36888.0/37230.0 days/days; walltime: 0.3
36889.0/37230.0 days/days; walltime: 0.2
36890.0/37230.0 days/days; walltime: 0.1
36891.0/37230.0 days/days; walltime: 0.2
36892.0/37230.0 days/days; walltime: 0.1
36893.0/37230.0 days/days; walltime: 0.2
36894.0/37230.0 days/days; walltime: 0.1
36895.0/37230.0 days/days; walltime: 0.3
36896.0/37230.0 days/days; walltime: 0.1
36897.0/37230.0 days/days; walltime: 0.3
36898.0/37230.0 days/days; walltime: 0.2
36899.0/37230.0 days/days; walltime: 0.2
36900.0/37230.0 days/days; walltime: 0.1
36901.0/37230.0 days/days; walltime: 0.3
36902.0/37230.0 days/days; walltime: 0.2
36903.0/37230.0 days/days; walltime: 0.3
36904.0/37230.0 days/days; walltime: 0.2
36905.0/37230.0 days/days; walltime: 0.3
36906.0/37230.0 days/days; walltime: 0.2
36907.0/37230.0 days/days; walltime: 0.1
36908.0/37230.0 days/days; walltime: 0.3
36909.0/37230.0 days/days; walltime: 0.1
36910.0/37230.0 days/days; walltime: 0.1
36911.0/37230.0 days/days; walltime: 0.1
36912.0/37230.0 days/days; walltime: 7.1
36913.0/37230.0 days/days; walltime: 0.9
36914.0/37230.0 days/days; walltime: 0.2
36915.0/37230.0 days/days; walltime: 0.3
36916.0/37230.0 days/days; walltime: 0.2
36917.0/37230.0 days/days; walltime: 0.2
36918.0/37230.0 days/days; walltime: 0.1
36919.0/37230.0 days/days; walltime: 0.2
36920.0/37230.0 days/days; walltime: 0.1
36921.0/37230.0 days/days; walltime: 0.2
36922.0/37230.0 days/days; walltime: 0.1
36923.0/37230.0 days/days; walltime: 0.2
36924.0/37230.0 days/days; walltime: 0.0
36925.0/37230.0 days/days; walltime: 0.1
36926.0/37230.0 days/days; walltime: 0.3
36927.0/37230.0 days/days; walltime: 0.2
36928.0/37230.0 days/days; walltime: 0.2
36929.0/37230.0 days/days; walltime: 0.2
36930.0/37230.0 days/days; walltime: 0.3
36931.0/37230.0 days/days; walltime: 0.1
36932.0/37230.0 days/days; walltime: 0.2
36933.0/37230.0 days/days; walltime: 0.3
36934.0/37230.0 days/days; walltime: 0.1
36935.0/37230.0 days/days; walltime: 0.2
36936.0/37230.0 days/days; walltime: 0.3
36937.0/37230.0 days/days; walltime: 0.1
36938.0/37230.0 days/days; walltime: 0.3
36939.0/37230.0 days/days; walltime: 0.1
36940.0/37230.0 days/days; walltime: 0.2
36941.0/37230.0 days/days; walltime: 0.1
36942.0/37230.0 days/days; walltime: 0.7
36943.0/37230.0 days/days; walltime: 45.2
36944.0/37230.0 days/days; walltime: 0.4
36945.0/37230.0 days/days; walltime: 0.2
36946.0/37230.0 days/days; walltime: 0.2
36947.0/37230.0 days/days; walltime: 0.1
36948.0/37230.0 days/days; walltime: 0.2
36949.0/37230.0 days/days; walltime: 0.0
36950.0/37230.0 days/days; walltime: 0.2
36951.0/37230.0 days/days; walltime: 0.0
36952.0/37230.0 days/days; walltime: 0.0
36953.0/37230.0 days/days; walltime: 0.2
36954.0/37230.0 days/days; walltime: 0.0
36955.0/37230.0 days/days; walltime: 0.0
36956.0/37230.0 days/days; walltime: 0.2
36957.0/37230.0 days/days; walltime: 0.0
36958.0/37230.0 days/days; walltime: 0.0
36959.0/37230.0 days/days; walltime: 0.2
36960.0/37230.0 days/days; walltime: 0.0
36961.0/37230.0 days/days; walltime: 0.0
36962.0/37230.0 days/days; walltime: 0.0
36963.0/37230.0 days/days; walltime: 0.2
36964.0/37230.0 days/days; walltime: 0.0
36965.0/37230.0 days/days; walltime: 0.0
36966.0/37230.0 days/days; walltime: 0.2
36967.0/37230.0 days/days; walltime: 0.0
36968.0/37230.0 days/days; walltime: 0.1
36969.0/37230.0 days/days; walltime: 0.2
36970.0/37230.0 days/days; walltime: 0.0
36971.0/37230.0 days/days; walltime: 0.0
36972.0/37230.0 days/days; walltime: 0.0
36973.0/37230.0 days/days; walltime: 0.0
36974.0/37230.0 days/days; walltime: 0.2
36975.0/37230.0 days/days; walltime: 0.0
36976.0/37230.0 days/days; walltime: 0.0
36977.0/37230.0 days/days; walltime: 0.0
36978.0/37230.0 days/days; walltime: 0.2
36979.0/37230.0 days/days; walltime: 0.0
36980.0/37230.0 days/days; walltime: 1.0
36981.0/37230.0 days/days; walltime: 1.8
36982.0/37230.0 days/days; walltime: 3.2
36983.0/37230.0 days/days; walltime: 11.1
36984.0/37230.0 days/days; walltime: 59.9
36985.0/37230.0 days/days; walltime: 15.4
36986.0/37230.0 days/days; walltime: 16.6
36987.0/37230.0 days/days; walltime: 20.3
36988.0/37230.0 days/days; walltime: 17.9
36989.0/37230.0 days/days; walltime: 20.2
36990.0/37230.0 days/days; walltime: 18.7
36991.0/37230.0 days/days; walltime: 18.8
36992.0/37230.0 days/days; walltime: 20.0
36993.0/37230.0 days/days; walltime: 20.0
36994.0/37230.0 days/days; walltime: 20.6
36995.0/37230.0 days/days; walltime: 19.5
36996.0/37230.0 days/days; walltime: 19.7
36997.0/37230.0 days/days; walltime: 21.7
36998.0/37230.0 days/days; walltime: 19.0
36999.0/37230.0 days/days; walltime: 18.3
37000.0/37230.0 days/days; walltime: 18.8
37001.0/37230.0 days/days; walltime: 18.5
37002.0/37230.0 days/days; walltime: 17.5
37003.0/37230.0 days/days; walltime: 17.1
37004.0/37230.0 days/days; walltime: 19.0
37005.0/37230.0 days/days; walltime: 22.1
37006.0/37230.0 days/days; walltime: 17.4
37007.0/37230.0 days/days; walltime: 18.7
37008.0/37230.0 days/days; walltime: 17.0
37009.0/37230.0 days/days; walltime: 17.6
37010.0/37230.0 days/days; walltime: 23.0
37011.0/37230.0 days/days; walltime: 14.8
37012.0/37230.0 days/days; walltime: 15.7
37013.0/37230.0 days/days; walltime: 15.1
37014.0/37230.0 days/days; walltime: 20.9
37015.0/37230.0 days/days; walltime: 13.4
37016.0/37230.0 days/days; walltime: 18.2
37017.0/37230.0 days/days; walltime: 16.0
37018.0/37230.0 days/days; walltime: 17.2
37019.0/37230.0 days/days; walltime: 13.1
37020.0/37230.0 days/days; walltime: 14.5
37021.0/37230.0 days/days; walltime: 28.8
37022.0/37230.0 days/days; walltime: 16.8
37023.0/37230.0 days/days; walltime: 19.5
37024.0/37230.0 days/days; walltime: 6.6
37025.0/37230.0 days/days; walltime: 6.3
37026.0/37230.0 days/days; walltime: 8.7
37027.0/37230.0 days/days; walltime: 10.5
37028.0/37230.0 days/days; walltime: 24.4
37029.0/37230.0 days/days; walltime: 19.8
37030.0/37230.0 days/days; walltime: 10.4
37031.0/37230.0 days/days; walltime: 22.7
37032.0/37230.0 days/days; walltime: 25.8
37033.0/37230.0 days/days; walltime: 7.7
37034.0/37230.0 days/days; walltime: 10.6
37035.0/37230.0 days/days; walltime: 26.2
37036.0/37230.0 days/days; walltime: 45.4
37037.0/37230.0 days/days; walltime: 10.9
37038.0/37230.0 days/days; walltime: 19.1
37039.0/37230.0 days/days; walltime: 28.3
37040.0/37230.0 days/days; walltime: 19.4
37041.0/37230.0 days/days; walltime: 18.8
37042.0/37230.0 days/days; walltime: 34.5
37043.0/37230.0 days/days; walltime: 37.5
37044.0/37230.0 days/days; walltime: 28.7
37045.0/37230.0 days/days; walltime: 23.6
37046.0/37230.0 days/days; walltime: 5.2
37047.0/37230.0 days/days; walltime: 34.0
37048.0/37230.0 days/days; walltime: 5.0
37049.0/37230.0 days/days; walltime: 3.6
37050.0/37230.0 days/days; walltime: 17.0
37051.0/37230.0 days/days; walltime: 11.1
37052.0/37230.0 days/days; walltime: 28.8
37053.0/37230.0 days/days; walltime: 33.9
37054.0/37230.0 days/days; walltime: 9.7
37055.0/37230.0 days/days; walltime: 6.2
37056.0/37230.0 days/days; walltime: 3.5
37057.0/37230.0 days/days; walltime: 2.6
37058.0/37230.0 days/days; walltime: 13.8
37059.0/37230.0 days/days; walltime: 14.8
37060.0/37230.0 days/days; walltime: 31.6
37061.0/37230.0 days/days; walltime: 7.0
37062.0/37230.0 days/days; walltime: 13.9
37063.0/37230.0 days/days; walltime: 7.8
37064.0/37230.0 days/days; walltime: 2.8
37065.0/37230.0 days/days; walltime: 13.9
37066.0/37230.0 days/days; walltime: 6.8
37067.0/37230.0 days/days; walltime: 1.3
37068.0/37230.0 days/days; walltime: 1.4
37069.0/37230.0 days/days; walltime: 11.4
37070.0/37230.0 days/days; walltime: 2.0
37071.0/37230.0 days/days; walltime: 17.9
37072.0/37230.0 days/days; walltime: 12.5
37073.0/37230.0 days/days; walltime: 6.4
37074.0/37230.0 days/days; walltime: 20.6
